Date,Temperature,Humidity,CPU
2012-02-15,28,77,66495.217
2012-02-16,32,67,201192.71
2012-02-17,34,45,233916.32
2012-02-18,28,71,194854.11
2012-02-19,31,66,138680.11
2012-02-20,32,41,143503.25
2012-02-21,40,31,121267.58
2012-02-22,52,30,327343.57
2012-02-23,35,56,232826.05
2012-02-24,34,36,295776.38
2012-02-25,42,34,223287.5
2012-02-26,34,24,150678.99
2012-02-27,32,37,173859.29
2012-02-28,36,54,262704.89
2012-02-29,42,22,299363.96
2012-03-01,36,59,290075.83
2012-03-02,28,49,221582.45
2012-03-03,36,23,248219.13
2012-03-04,52,21,225419.01
2012-03-05,48,20,249953.27
2012-03-06,55,14,172040.47
2012-03-07,36,83,313473.47
2012-03-08,37,41,67526.94
2012-03-09,45,23,270118.36
2012-03-10,50,30,224798.56
2012-03-11,50,41,186393.47
2012-03-12,58,15,320986.59
2012-03-13,56,14,267206.48
2012-03-14,56,10,252038.41
2012-03-15,58,17,375444.28
2012-03-16,57,20,308791.35
2012-03-17,58,15,327686.87
2012-03-18,56,21,255306.65
2012-03-19,40,18,279650.91
2012-03-20,40,32,335538.83
2012-03-21,47,28,163768.27
2012-03-22,52,33,359030.53
2012-03-23,55,30,388821.87
2012-03-24,60,24,371231.37
2012-03-25,55,50,247666.91
2012-03-26,60,32,264164.35
2012-03-27,58,17,339802.08
2012-03-28,56,24,312569.16
2012-03-29,58,17,287189.5
2012-03-30,62,17,326302.48
2012-03-31,66,19,341965.62
2012-04-01,64,13,289592.32
2012-04-02,48,57,206768.05
2012-04-03,34,88,293088.69
2012-04-04,46,63,170549.06
2012-04-05,53,51,9878.7708
2012-04-06,58,34,328343.75
2012-04-07,46,23,259104.53
2012-04-08,52,28,280985.99
2012-04-09,52,31,213165.32
2012-04-10,55,44,328455.5
2012-04-11,57,66,300176.48
2012-04-12,54,47,365075.29
2012-04-13,52,27,315047.96
2012-04-14,48,53,149926.93
2012-04-15,43,66,404297.61
2012-04-16,46,46,197524.4
2012-04-17,55,28,364330.86
2012-04-18,55,42,248850.74
2012-04-19,53,50,240279.1
2012-04-20,55,46,270507.56
2012-04-21,63,28,243519.64
2012-04-22,58,41,240382.02
2012-04-23,62,32,290880.39
2012-04-24,70,20,345517.25
2012-04-25,66,25,286688.14
2012-04-26,68,34,244757.33
2012-04-27,56,47,278892.35
2012-04-28,52,24,302462.91
2012-04-29,50,49,330954.58
2012-04-30,59,24,290672.07
2012-05-01,65,19,311825.21
2012-05-02,63,34,137591.68
2012-05-03,64,30,63887.263
2012-05-04,73,16,274941.76
2012-05-05,65,25,265028.02
2012-05-06,50,45,358904.74
2012-05-07,42,81,214807.02
2012-05-08,50,51,253992.91
2012-05-09,60,35,332278.49
2012-05-10,66,20,382992.95
2012-05-11,46,68,248367.21
2012-05-12,42,86,242740.94
2012-05-13,50,69,201323.63
2012-05-14,60,28,274510.37
2012-05-15,62,25,338334.14
2012-05-16,66,31,146890.69
2012-05-17,70,25,112231.62
2012-05-18,64,30,263458.32
2012-05-19,53,68,320393.9
2012-05-20,57,50,291879.65
2012-05-21,66,36,361956.1
2012-05-22,71,19,311273.7
2012-05-23,58,55,354204.18
2012-05-24,50,68,254303.99
2012-05-25,58,55,322268.38
2012-05-26,69,52,305087.94
2012-05-27,60,12,209461.01
2012-05-28,62,22,518839.34
2012-05-29,61,28,193562.1
2012-05-30,68,27,313135.49
2012-05-31,58,43,277547.03
2012-06-01,65,41,315910.68
2012-06-02,64,45,302462.79
2012-06-03,71,33,280121.25
2012-06-04,73,35,329191.87
2012-06-05,70,35,309550.08
2012-06-06,68,37,148706.5
2012-06-07,73,42,39227.325
2012-06-08,75,35,352741.55
2012-06-09,74,19,285618.09
2012-06-10,65,21,218119.9
2012-06-11,63,19,241978.1
2012-06-12,67,25,324565.09
2012-06-13,72,17,312046.7
2012-06-14,72,21,436092.08
2012-06-15,74,33,323672.94
2012-06-16,70,38,296948.73
2012-06-17,74,25,326834.68
2012-06-18,86,9,301575.65
2012-06-19,86,11,371782.38
2012-06-20,64,41,337408.19
2012-06-21,73,29,302878.18
